Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase  ",sp|Q99JT9|MTND_MOUSE,Q99JT9,Adi1,-0.28,0.11,-0.28,0.094,-0.41,0.744,-0.57,0.748,104923
"1,4-alpha-glucan-branching enzyme  ",sp|Q9D6Y9|GLGB_MOUSE,Q9D6Y9,Gbe1,0.19,0.279,0.24,0.215,0.07,0.537,0.01,0.959,74185
"1,5-anhydro-D-fructose reductase  ",sp|Q9DCT1|AKCL2_MOUSE,Q9DCT1,Akr1e2,-0.01,0.944,-0.13,0.474,0.41,0.377,0.61,0.185,56043
"10 kDa heat shock protein, mitochondrial  ",sp|Q64433|CH10_MOUSE,Q64433,Hspe1,-0.87,0.202,-0.76,0.047,0.14,0.588,0.63,0.563,15528
116 kDa U5 small nuclear ribonucleoprotein component  ,sp|O08810|U5S1_MOUSE,O08810,Eftud2,-0.29,0.105,-0.02,0.686,-0.22,0.97,-0.43,0.629,20624
14 kDa phosphohistidine phosphatase  ,sp|Q9DAK9|PHP14_MOUSE,Q9DAK9,Phpt1,0.25,0.26,0.09,0.714,0.46,0.314,0.63,0.902,75454
14-3-3 protein beta/alpha  ,sp|Q9CQV8|1433B_MOUSE,Q9CQV8,Ywhab,0.03,0.916,0.13,0.791,-0.6,0.773,-1.42,0.067,54401
14-3-3 protein epsilon  ,sp|P62259|1433E_MOUSE,P62259,Ywhae,-0.04,0.864,-0.15,0.498,-0.42,0.971,-0.64,0.893,22627
14-3-3 protein eta  ,sp|P68510|1433F_MOUSE,P68510,Ywhah,-0.44,0.155,-0.5,0.161,-0.3,0.166,0.06,0.191,22629
14-3-3 protein gamma  ,sp|P61982|1433G_MOUSE,P61982,Ywhag,-0.41,0.067,-0.79,0.026,-0.14,0.311,0.19,0.984,22628
14-3-3 protein sigma  ,sp|O70456|1433S_MOUSE,O70456,Sfn,-0.48,0.064,-1.2,0.009,-0.33,0.991,-0.51,0.87,55948
14-3-3 protein zeta/delta  ,sp|P63101|1433Z_MOUSE,P63101,Ywhaz,-0.27,0.334,-0.33,0.769,-0.35,0.931,-0.69,0.412,22631
15 kDa selenoprotein  ,sp|Q9ERR7|SEP15_MOUSE,Q9ERR7,15-Sep,-0.22,0.253,-0.23,0.2,-0.31,0.936,-0.61,0.449,93684
182 kDa tankyrase-1-binding protein  ,sp|P58871|TB182_MOUSE,P58871,Tnks1bp1,0.09,0.642,-0.06,0.97,0.2,0.227,0.1,0.381,228140
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3  ",sp|P51432|PLCB3_MOUSE,P51432,Plcb3,-0.11,0.632,-0.14,0.967,0.06,0.844,-0.16,0.295,18797
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1  ",sp|Q8R3B1|PLCD1_MOUSE,Q8R3B1,Plcd1,-0.03,0.852,-0.04,0.568,-0.14,0.403,-0.11,0.817,18799
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1  ",sp|Q62077|PLCG1_MOUSE,Q62077,Plcg1,0.22,0.238,0.15,0.386,0.2,0.641,0.49,0.132,18803
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2  ",sp|Q8CIH5|PLCG2_MOUSE,Q8CIH5,Plcg2,-0.13,0.439,-0.5,0.064,-0.34,0.228,-0.2,0.901,234779
"2,4-dienoyl-CoA reductase, mitochondrial  ",sp|Q9CQ62|DECR_MOUSE,Q9CQ62,Decr1,-0.48,0.357,-0.09,0.209,-0.11,0.363,0.18,0.66,67460
"2',5'-phosphodiesterase 12  ",sp|Q3TIU4|PDE12_MOUSE,Q3TIU4,Pde12,-0.07,0.716,0.16,0.678,-0.07,0.761,-0.57,0.529,211948
2'-5'-oligoadenylate synthase 1A  ,sp|P11928|OAS1A_MOUSE,P11928,Oas1a,-0.31,0.185,-0.42,0.326,-0.27,0.132,-0.06,0.354,246730
26S protease regulatory subunit 10B  ,sp|P62334|PRS10_MOUSE,P62334,Psmc6,-0.25,0.174,-0.25,0.466,-0.04,0.587,-0.02,0.432,67089
26S protease regulatory subunit 4  ,sp|P62192|PRS4_MOUSE,P62192,Psmc1,0.02,0.936,0.14,0.959,-0.15,0.15,-0.79,0.799,19179
26S protease regulatory subunit 6A  ,sp|O88685|PRS6A_MOUSE,O88685,Psmc3,-0.02,0.934,0.02,0.726,0.33,0.174,0.25,0.672,19182
26S protease regulatory subunit 6B  ,sp|P54775|PRS6B_MOUSE,P54775,Psmc4,-0.25,0.151,-0.4,0.044,-0.07,0.122,0.4,0.846,23996
26S protease regulatory subunit 8  ,sp|P62196|PRS8_MOUSE,P62196,Psmc5,-0.27,0.187,-0.02,0.773,-0.19,0.711,-0.33,0.369,19184
26S proteasome non-ATPase regulatory subunit 1  ,sp|Q3TXS7|PSMD1_MOUSE,Q3TXS7,Psmd1,-0.19,0.425,0.05,0.827,-0.12,0.935,-0.25,0.728,70247
26S proteasome non-ATPase regulatory subunit 10  ,sp|Q9Z2X2|PSD10_MOUSE,Q9Z2X2,Psmd10,-0.05,0.771,-0.07,0.636,0.08,0.51,0.22,0.415,53380
26S proteasome non-ATPase regulatory subunit 11  ,sp|Q8BG32|PSD11_MOUSE,Q8BG32,Psmd11,-0.23,0.354,0.14,0.269,-0.39,0.683,-0.6,0.093,69077
26S proteasome non-ATPase regulatory subunit 12  ,sp|Q9D8W5|PSD12_MOUSE,Q9D8W5,Psmd12,-0.09,0.73,0.01,0.791,-0.45,0.734,-0.92,0.185,66997
26S proteasome non-ATPase regulatory subunit 13  ,sp|Q9WVJ2|PSD13_MOUSE,Q9WVJ2,Psmd13,-0.27,0.231,-0.19,0.337,-0.48,0.292,-0.83,0.044,23997
26S proteasome non-ATPase regulatory subunit 14  ,sp|O35593|PSDE_MOUSE,O35593,Psmd14,-0.07,0.698,0.01,0.564,-0.37,0.585,-0.8,0.525,59029
26S proteasome non-ATPase regulatory subunit 2  ,sp|Q8VDM4|PSMD2_MOUSE,Q8VDM4,Psmd2,-0.25,0.383,-0.08,0.831,-0.31,0.76,-0.72,0.138,21762
26S proteasome non-ATPase regulatory subunit 3  ,sp|P14685|PSMD3_MOUSE,P14685,Psmd3,0.12,0.553,0.01,0.865,-0.22,0.977,-0.49,0.537,22123
26S proteasome non-ATPase regulatory subunit 5  ,sp|Q8BJY1|PSMD5_MOUSE,Q8BJY1,Psmd5,-0.01,0.961,-0.01,0.758,-0.17,0.842,-0.27,0.919,66998
